2026-06-04 14:41:09 | INFO | [epoch 38] loss=2.5290  acc=0.6726  f1=0.6560  | val_loss=2.5056  val_acc=0.6507  val_f1=0.6478
2026-06-04 14:45:31 | INFO | [epoch 39] loss=2.5350  acc=0.6629  f1=0.6457  | val_loss=2.5544  val_acc=0.7298  val_f1=0.7067
2026-06-04 14:49:50 | INFO | [epoch 40] loss=2.5188  acc=0.6675  f1=0.6490  | val_loss=2.5568  val_acc=0.7106  val_f1=0.6966
2026-06-04 14:54:10 | INFO | [epoch 41] loss=2.5533  acc=0.6574  f1=0.6359  | val_loss=2.5662  val_acc=0.6502  val_f1=0.6468
2026-06-04 14:58:29 | INFO | [epoch 42] loss=2.5421  acc=0.6633  f1=0.6504  | val_loss=2.5843  val_acc=0.7219  val_f1=0.6800
2026-06-04 15:02:55 | INFO | [epoch 43] loss=2.5471  acc=0.6571  f1=0.6442  | val_loss=2.5954  val_acc=0.7017  val_f1=0.6908
2026-06-04 15:07:14 | INFO | [epoch 44] loss=2.5515  acc=0.6674  f1=0.6514  | val_loss=2.5531  val_acc=0.7291  val_f1=0.7014
2026-06-04 15:11:33 | INFO | [epoch 45] loss=2.5230  acc=0.6783  f1=0.6597  | val_loss=2.5447  val_acc=0.7255  val_f1=0.7086
2026-06-04 15:15:52 | INFO | [epoch 46] loss=2.5403  acc=0.6695  f1=0.6539  | val_loss=2.5329  val_acc=0.7147  val_f1=0.6682
2026-06-04 15:20:11 | INFO | [epoch 47] loss=2.5498  acc=0.6698  f1=0.6451  | val_loss=2.5184  val_acc=0.7232  val_f1=0.6984
2026-06-04 15:24:32 | INFO | [epoch 48] loss=2.5365  acc=0.6664  f1=0.6491  | val_loss=2.5482  val_acc=0.7135  val_f1=0.7002
2026-06-04 15:29:04 | INFO | [epoch 49] loss=2.5695  acc=0.6538  f1=0.6374  | val_loss=2.5824  val_acc=0.7235  val_f1=0.6908
2026-06-04 15:33:27 | INFO | [epoch 50] loss=2.5199  acc=0.6808  f1=0.6617  | val_loss=2.5517  val_acc=0.7286  val_f1=0.6985
2026-06-04 15:37:47 | INFO | [epoch 51] loss=2.5425  acc=0.6654  f1=0.6501  | val_loss=2.5675  val_acc=0.7108  val_f1=0.6641
2026-06-04 15:42:12 | INFO | [epoch 52] loss=2.5522  acc=0.6690  f1=0.6497  | val_loss=2.5126  val_acc=0.7179  val_f1=0.7031
2026-06-04 15:46:36 | INFO | [epoch 53] loss=2.5122  acc=0.6740  f1=0.6581  | val_loss=2.5513  val_acc=0.6972  val_f1=0.6858
2026-06-04 15:50:57 | INFO | [epoch 54] loss=2.5495  acc=0.6617  f1=0.6439  | val_loss=2.5476  val_acc=0.6733  val_f1=0.6675
2026-06-04 15:55:17 | INFO | [epoch 55] loss=2.5573  acc=0.6513  f1=0.6376  | val_loss=2.5673  val_acc=0.6741  val_f1=0.6682
2026-06-04 15:59:38 | INFO | [epoch 56] loss=2.5713  acc=0.6597  f1=0.6432  | val_loss=2.5361  val_acc=0.7118  val_f1=0.6997
2026-06-04 16:03:58 | INFO | [epoch 57] loss=2.5746  acc=0.6577  f1=0.6425  | val_loss=2.5841  val_acc=0.6148  val_f1=0.6147
2026-06-04 16:03:58 | INFO | Early stop at epoch 57 (best=0.7141)
