2026-05-29 23:18:24 | INFO | [epoch 39] loss=2.3040  acc=0.7168  f1=0.7023  | val_loss=3.0370  val_acc=0.5304  val_f1=0.5304
2026-05-29 23:18:45 | INFO | [epoch 40] loss=2.2624  acc=0.7243  f1=0.7091  | val_loss=3.2136  val_acc=0.5022  val_f1=0.4971
2026-05-29 23:19:06 | INFO | [epoch 41] loss=2.2684  acc=0.7256  f1=0.7117  | val_loss=3.6217  val_acc=0.4738  val_f1=0.4658
2026-05-29 23:19:27 | INFO | [epoch 42] loss=2.2697  acc=0.7303  f1=0.7145  | val_loss=2.8730  val_acc=0.5993  val_f1=0.5990
2026-05-29 23:19:48 | INFO | [epoch 43] loss=2.2027  acc=0.7371  f1=0.7232  | val_loss=3.2713  val_acc=0.5422  val_f1=0.5420
2026-05-29 23:20:09 | INFO | [epoch 44] loss=2.1650  acc=0.7446  f1=0.7313  | val_loss=2.8485  val_acc=0.6003  val_f1=0.6001
2026-05-29 23:20:30 | INFO | [epoch 45] loss=2.1517  acc=0.7467  f1=0.7330  | val_loss=3.5627  val_acc=0.5566  val_f1=0.5557
2026-05-29 23:20:51 | INFO | [epoch 46] loss=2.1945  acc=0.7419  f1=0.7274  | val_loss=3.2355  val_acc=0.5545  val_f1=0.5539
2026-05-29 23:21:12 | INFO | [epoch 47] loss=2.1549  acc=0.7478  f1=0.7340  | val_loss=3.0361  val_acc=0.5337  val_f1=0.5303
2026-05-29 23:21:33 | INFO | [epoch 48] loss=2.1304  acc=0.7478  f1=0.7345  | val_loss=3.1073  val_acc=0.5973  val_f1=0.5970
2026-05-29 23:21:55 | INFO | [epoch 49] loss=2.1572  acc=0.7450  f1=0.7325  | val_loss=2.9670  val_acc=0.6133  val_f1=0.6118
2026-05-29 23:22:16 | INFO |   ↳ Saved best (val_f1=0.6340)
2026-05-29 23:22:16 | INFO | [epoch 50] loss=2.1108  acc=0.7508  f1=0.7357  | val_loss=2.9034  val_acc=0.6393  val_f1=0.6340
2026-05-29 23:22:37 | INFO |   ↳ Saved best (val_f1=0.6381)
2026-05-29 23:22:37 | INFO | [epoch 51] loss=2.0828  acc=0.7563  f1=0.7445  | val_loss=2.7440  val_acc=0.6415  val_f1=0.6381
2026-05-29 23:22:58 | INFO | [epoch 52] loss=2.0982  acc=0.7533  f1=0.7418  | val_loss=2.8983  val_acc=0.6085  val_f1=0.6073
2026-05-29 23:23:19 | INFO | [epoch 53] loss=2.1058  acc=0.7508  f1=0.7379  | val_loss=4.1248  val_acc=0.5868  val_f1=0.5867
2026-05-29 23:23:40 | INFO | [epoch 54] loss=2.0993  acc=0.7585  f1=0.7454  | val_loss=2.7291  val_acc=0.6007  val_f1=0.6004
2026-05-29 23:24:01 | INFO | [epoch 55] loss=2.0212  acc=0.7642  f1=0.7535  | val_loss=2.8241  val_acc=0.6328  val_f1=0.6297
2026-05-29 23:24:22 | INFO | [epoch 56] loss=2.0440  acc=0.7538  f1=0.7429  | val_loss=3.0178  val_acc=0.5987  val_f1=0.5981
2026-05-29 23:24:43 | INFO | [epoch 57] loss=2.0320  acc=0.7593  f1=0.7496  | val_loss=3.4686  val_acc=0.5973  val_f1=0.5971
2026-05-29 23:25:04 | INFO | [epoch 58] loss=2.0812  acc=0.7583  f1=0.7462  | val_loss=3.0950  val_acc=0.5597  val_f1=0.5595
2026-05-29 23:25:24 | INFO | [epoch 59] loss=2.0197  acc=0.7669  f1=0.7539  | val_loss=3.0919  val_acc=0.6102  val_f1=0.6094
2026-05-29 23:25:45 | INFO | [epoch 60] loss=1.9752  acc=0.7719  f1=0.7621  | val_loss=3.1266  val_acc=0.6067  val_f1=0.6066
2026-05-29 23:26:06 | INFO | [epoch 61] loss=1.9919  acc=0.7639  f1=0.7525  | val_loss=2.8550  val_acc=0.5960  val_f1=0.5958
2026-05-29 23:26:27 | INFO |   ↳ Saved best (val_f1=0.6408)
2026-05-29 23:26:27 | INFO | [epoch 62] loss=1.9739  acc=0.7666  f1=0.7565  | val_loss=2.7859  val_acc=0.6435  val_f1=0.6408
2026-05-29 23:26:48 | INFO | [epoch 63] loss=1.9880  acc=0.7659  f1=0.7557  | val_loss=2.9643  val_acc=0.6016  val_f1=0.6011
2026-05-29 23:27:09 | INFO | [epoch 64] loss=2.0128  acc=0.7635  f1=0.7542  | val_loss=2.8612  val_acc=0.6138  val_f1=0.6133
2026-05-29 23:27:29 | INFO | [epoch 65] loss=1.9764  acc=0.7648  f1=0.7547  | val_loss=2.8705  val_acc=0.6150  val_f1=0.6135
2026-05-29 23:27:50 | INFO | [epoch 66] loss=2.0101  acc=0.7611  f1=0.7507  | val_loss=2.9664  val_acc=0.5896  val_f1=0.5889
2026-05-29 23:28:11 | INFO | [epoch 67] loss=1.9386  acc=0.7704  f1=0.7610  | val_loss=3.0785  val_acc=0.6147  val_f1=0.6132
2026-05-29 23:28:32 | INFO | [epoch 68] loss=1.9358  acc=0.7721  f1=0.7624  | val_loss=2.9300  val_acc=0.6034  val_f1=0.6027
2026-05-29 23:28:53 | INFO |   ↳ Saved best (val_f1=0.6668)
2026-05-29 23:28:53 | INFO | [epoch 69] loss=1.9269  acc=0.7763  f1=0.7662  | val_loss=2.7938  val_acc=0.6750  val_f1=0.6668
2026-05-29 23:29:14 | INFO | [epoch 70] loss=1.9010  acc=0.7737  f1=0.7655  | val_loss=2.8059  val_acc=0.6576  val_f1=0.6502
2026-05-29 23:29:34 | INFO | [epoch 71] loss=1.8890  acc=0.7744  f1=0.7666  | val_loss=2.7118  val_acc=0.6418  val_f1=0.6394
2026-05-29 23:29:55 | INFO | [epoch 72] loss=1.8953  acc=0.7723  f1=0.7651  | val_loss=2.9003  val_acc=0.6304  val_f1=0.6282
2026-05-29 23:30:16 | INFO | [epoch 73] loss=1.9033  acc=0.7792  f1=0.7696  | val_loss=2.7849  val_acc=0.6202  val_f1=0.6200
2026-05-29 23:30:37 | INFO | [epoch 74] loss=1.9469  acc=0.7737  f1=0.7651  | val_loss=2.8819  val_acc=0.6221  val_f1=0.6207
2026-05-29 23:30:58 | INFO | [epoch 75] loss=1.8628  acc=0.7792  f1=0.7712  | val_loss=2.7142  val_acc=0.6445  val_f1=0.6409
2026-05-29 23:31:19 | INFO | [epoch 76] loss=1.8659  acc=0.7797  f1=0.7720  | val_loss=2.9170  val_acc=0.6254  val_f1=0.6230
2026-05-29 23:31:39 | INFO | [epoch 77] loss=1.9630  acc=0.7573  f1=0.7510  | val_loss=2.9895  val_acc=0.6492  val_f1=0.6477
2026-05-29 23:32:00 | INFO | [epoch 78] loss=1.8570  acc=0.7779  f1=0.7708  | val_loss=3.2070  val_acc=0.5793  val_f1=0.5788
2026-05-29 23:32:21 | INFO | [epoch 79] loss=1.8859  acc=0.7818  f1=0.7734  | val_loss=2.8468  val_acc=0.6286  val_f1=0.6274
2026-05-29 23:32:42 | INFO | [epoch 80] loss=1.8860  acc=0.7728  f1=0.7647  | val_loss=2.9075  val_acc=0.6331  val_f1=0.6323
2026-05-29 23:33:03 | INFO | [epoch 81] loss=1.8296  acc=0.7797  f1=0.7725  | val_loss=2.7453  val_acc=0.6557  val_f1=0.6535
2026-05-29 23:33:24 | INFO | [epoch 82] loss=1.7987  acc=0.7836  f1=0.7774  | val_loss=3.0700  val_acc=0.6261  val_f1=0.6245
2026-05-29 23:33:44 | INFO | [epoch 83] loss=1.8200  acc=0.7826  f1=0.7750  | val_loss=3.2520  val_acc=0.5870  val_f1=0.5869
2026-05-29 23:34:05 | INFO | [epoch 84] loss=1.8411  acc=0.7767  f1=0.7685  | val_loss=2.9222  val_acc=0.5920  val_f1=0.5920
2026-05-29 23:34:26 | INFO | [epoch 85] loss=1.8690  acc=0.7761  f1=0.7694  | val_loss=2.8638  val_acc=0.6518  val_f1=0.6505
2026-05-29 23:34:47 | INFO | [epoch 86] loss=1.8405  acc=0.7850  f1=0.7768  | val_loss=3.0468  val_acc=0.6293  val_f1=0.6274
2026-05-29 23:35:08 | INFO | [epoch 87] loss=1.8128  acc=0.7889  f1=0.7819  | val_loss=2.8533  val_acc=0.6217  val_f1=0.6213
2026-05-29 23:35:28 | INFO | [epoch 88] loss=1.8402  acc=0.7769  f1=0.7689  | val_loss=3.1003  val_acc=0.5722  val_f1=0.5719
2026-05-29 23:35:49 | INFO |   ↳ Saved best (val_f1=0.6704)
2026-05-29 23:35:49 | INFO | [epoch 89] loss=1.7997  acc=0.7860  f1=0.7780  | val_loss=2.7126  val_acc=0.6741  val_f1=0.6704
2026-05-29 23:36:10 | INFO | [epoch 90] loss=1.7589  acc=0.7928  f1=0.7858  | val_loss=2.7998  val_acc=0.6492  val_f1=0.6482
2026-05-29 23:36:31 | INFO | [epoch 91] loss=1.7456  acc=0.7937  f1=0.7874  | val_loss=2.7841  val_acc=0.6295  val_f1=0.6289
2026-05-29 23:36:52 | INFO | [epoch 92] loss=1.7659  acc=0.7877  f1=0.7814  | val_loss=2.9820  val_acc=0.6200  val_f1=0.6196
2026-05-29 23:37:13 | INFO | [epoch 93] loss=1.8045  acc=0.7883  f1=0.7817  | val_loss=3.0726  val_acc=0.6329  val_f1=0.6323
2026-05-29 23:37:34 | INFO | [epoch 94] loss=1.7780  acc=0.7839  f1=0.7784  | val_loss=2.9783  val_acc=0.6266  val_f1=0.6259
2026-05-29 23:37:55 | INFO | [epoch 95] loss=1.7594  acc=0.7967  f1=0.7909  | val_loss=3.3519  val_acc=0.5849  val_f1=0.5849
2026-05-29 23:38:15 | INFO | [epoch 96] loss=1.7857  acc=0.7794  f1=0.7740  | val_loss=3.2648  val_acc=0.5878  val_f1=0.5878
2026-05-29 23:38:37 | INFO | [epoch 97] loss=1.7531  acc=0.8010  f1=0.7935  | val_loss=3.5332  val_acc=0.6179  val_f1=0.6173
2026-05-29 23:38:58 | INFO | [epoch 98] loss=1.7158  acc=0.7892  f1=0.7838  | val_loss=3.4933  val_acc=0.6197  val_f1=0.6194
2026-05-29 23:39:18 | INFO | [epoch 99] loss=1.7378  acc=0.7951  f1=0.7883  | val_loss=3.5151  val_acc=0.5889  val_f1=0.5851
2026-05-29 23:39:39 | INFO | [epoch 100] loss=1.7509  acc=0.7879  f1=0.7808  | val_loss=3.1966  val_acc=0.6398  val_f1=0.6357
