iter	Passed	Remaining
401	19099	28411
402	19146	28362
403	19193	28315
404	19240	28267
405	19287	28218
406	19333	28169
407	19382	28123
408	19428	28074
409	19477	28027
410	19525	27981
411	19573	27934
412	19619	27884
413	19665	27835
414	19713	27789
415	19759	27738
416	19808	27693
417	19858	27650
418	19908	27605
419	19955	27557
420	20001	27507
421	20051	27463
422	20098	27415
423	20144	27365
424	20190	27316
425	20236	27267
426	20284	27219
427	20331	27172
428	20381	27127
429	20431	27083
430	20478	27035
431	20525	26987
432	20572	26939
433	20623	26896
434	20670	26847
435	20717	26800
436	20766	26754
437	20813	26705
438	20862	26660
439	20910	26612
440	20958	26566
441	21004	26516
442	21053	26471
443	21100	26422
444	21147	26375
445	21193	26325
446	21240	26276
447	21286	26227
448	21333	26179
449	21380	26131
450	21427	26083
451	21474	26035
452	21520	25985
453	21566	25937
454	21613	25888
455	21659	25839
456	21707	25792
457	21754	25744
458	21801	25696
459	21849	25649
460	21896	25600
461	21942	25552
462	21988	25503
463	22036	25455
464	22083	25408
465	22131	25361
466	22179	25313
467	22226	25265
468	22273	25217
469	22318	25167
470	22365	25119
471	22411	25070
472	22458	25022
473	22505	24974
474	22555	24929
475	22604	24883
476	22651	24835
477	22697	24786
478	22743	24737
479	22790	24689
480	22840	24644
481	22887	24596
482	22934	24548
483	22980	24499
484	23025	24449
485	23074	24403
486	23124	24358
487	23172	24311
488	23219	24263
489	23264	24214
490	23311	24166
491	23358	24117
492	23405	24069
493	23451	24021
494	23500	23975
495	23549	23929
496	23599	23884
497	23648	23837
498	23695	23790
499	23741	23741
500	23788	23693
501	23834	23644
502	23883	23598
503	23928	23548
504	23974	23499
505	24021	23451
506	24069	23404
507	24115	23356
508	24162	23308
509	24213	23264
510	24261	23216
511	24308	23169
512	24355	23120
513	24403	23074
514	24452	23027
515	24501	22981
516	24548	22934
517	24598	22888
518	24644	22840
519	24691	22792
520	24742	22747
521	24796	22706
522	24844	22659
523	24897	22617
524	24946	22570
525	24993	22522
526	25039	22474
527	25086	22425
528	25133	22378
529	25180	22329
530	25227	22282
531	25275	22234
532	25322	22186
533	25369	22138
534	25418	22092
535	25465	22044
536	25512	21996
537	25561	21950
538	25607	21901
539	25654	21853
540	25700	21804
541	25747	21756
542	25794	21709
543	25841	21661
544	25889	21614
545	25937	21567
546	25985	21519
547	26031	21471
548	26080	21425
549	26127	21377
550	26173	21328
551	26223	21282
552	26269	21233
553	26318	21187
554	26365	21140
555	26413	21092
556	26460	21044
557	26508	20997
558	26555	20949
559	26601	20901
560	26649	20853
561	26699	20808
562	26746	20760
563	26792	20711
564	26842	20666
565	26890	20619
566	26938	20572
567	26986	20524
568	27034	20477
569	27083	20431
570	27133	20385
571	27182	20339
572	27229	20291
573	27277	20244
574	27324	20196
575	27371	20148
576	27419	20101
577	27467	20054
578	27514	20006
579	27561	19958
580	27608	19910
581	27655	19862
582	27702	19814
583	27750	19767
584	27799	19720
585	27845	19672
586	27891	19623
587	27937	19575
588	27984	19527
589	28030	19478
590	28078	19431
591	28125	19384
592	28173	19336
593	28220	19288
594	28268	19241
595	28316	19194
596	28362	19146
597	28408	19097
598	28457	19050
599	28504	19003
600	28550	18954
601	28597	18906
602	28643	18858
603	28691	18810
604	28737	18762
605	28784	18714
606	28831	18666
607	28876	18617
608	28924	18570
609	28970	18522
610	29017	18474
611	29064	18426
612	29111	18378
613	29159	18331
614	29206	18283
615	29253	18235
616	29301	18189
617	29348	18141
618	29395	18093
619	29443	18046
620	29490	17998
621	29539	17951
622	29587	17904
623	29635	17857
624	29682	17809
625	29731	17763
626	29781	17717
627	29831	17671
628	29882	17625
629	29930	17578
630	29978	17530
631	30026	17483
632	30072	17435
633	30122	17389
634	30172	17343
635	30219	17295
636	30267	17248
637	30318	17202
638	30367	17155
639	30415	17108
640	30463	17061
641	30510	17013
642	30556	16965
643	30604	16917
644	30653	16871
645	30701	16823
646	30747	16775
647	30793	16727
648	30843	16681
649	30890	16633
650	30939	16586
651	30985	16538
652	31032	16490
653	31083	16444
654	31130	16397
655	31182	16351
656	31228	16303
657	31276	16255
658	31323	16208
659	31371	16160
660	31418	16113
661	31467	16066
662	31515	16019
663	31564	15972
664	31612	15924
665	31658	15876
666	31706	15829
667	31753	15781
668	31801	15734
669	31853	15689
670	31899	15640
671	31946	15592
672	31995	15546
673	32045	15499
674	32093	15452
675	32142	15405
676	32188	15357
677	32237	15310
678	32285	15262
679	32332	15215
680	32379	15167
681	32429	15121
682	32476	15073
683	32523	15025
684	32573	14978
685	32622	14932
686	32669	14884
687	32716	14836
688	32768	14790
689	32818	14744
690	32870	14698
691	32917	14651
692	32964	14603
693	33011	14555
694	33058	14507
695	33106	14460
696	33152	14411
697	33198	14364
698	33245	14315
699	33291	14267
700	33338	14220
701	33388	14173
702	33434	14125
703	33481	14077
704	33529	14030
705	33580	13983
706	33629	13936
707	33678	13889
708	33728	13843
709	33774	13795
710	33821	13747
711	33869	13700
712	33918	13653
713	33965	13605
714	34012	13557
715	34058	13509
716	34104	13460
717	34149	13412
718	34195	13364
719	34242	13316
720	34288	13268
721	34337	13221
722	34383	13173
723	34430	13125
724	34478	13078
725	34525	13030
726	34572	12982
727	34621	12935
728	34669	12888
729	34715	12839
730	34762	12792
731	34808	12744
732	34856	12696
733	34904	12649
734	34955	12603
735	35004	12555
736	35053	12508
737	35102	12461
738	35152	12415
739	35201	12368
740	35249	12320
741	35296	12272
742	35344	12225
743	35393	12178
744	35442	12131
745	35489	12083
746	35539	12036
747	35588	11989
748	35636	11942
749	35684	11894
750	35731	11846
751	35779	11799
752	35827	11752
753	35873	11704
754	35925	11658
755	35975	11610
756	36022	11563
757	36069	11515
758	36117	11468
759	36165	11420
760	36213	11373
761	36261	11325
762	36308	11278
763	36358	11231
764	36405	11183
765	36453	11135
766	36504	11089
767	36554	11042
768	36601	10994
769	36648	10946
770	36697	10899
771	36746	10852
772	36796	10805
773	36845	10758
774	36895	10711
775	36943	10664
776	36991	10616
777	37040	10569
778	37087	10521
779	37137	10474
780	37186	10427
781	37233	10379
782	37281	10332
783	37328	10284
784	37376	10236
785	37425	10189
786	37475	10142
787	37521	10094
788	37569	10047
789	37617	9999
790	37664	9951
791	37712	9904
792	37759	9856
793	37807	9809
794	37856	9761
795	37905	9714
796	37953	9666
797	37999	9618
798	38050	9572
799	38100	9525
800	38148	9477
801	38197	9430
802	38245	9382
803	38292	9335
804	38340	9287
805	38389	9240
806	38439	9193
807	38487	9145
808	38535	9097
809	38586	9051
810	38633	9003
811	38680	8955
812	38730	8908
813	38781	8861
814	38829	8814
815	38876	8766
816	38925	8718
817	38973	8671
818	39020	8623
819	39068	8575
820	39117	8528
821	39167	8481
822	39216	8434
823	39265	8386
824	39314	8339
825	39361	8291
826	39411	8244
827	39460	8197
828	39509	8149
829	39558	8102
830	39605	8054
831	39654	8007
832	39703	7959
833	39750	7911
834	39799	7864
835	39846	7816
836	39895	7769
837	39943	7721
838	39990	7674
839	40038	7626
840	40085	7578
841	40134	7531
842	40180	7483
843	40227	7435
844	40279	7388
845	40328	7341
846	40376	7293
847	40423	7245
848	40471	7198
849	40518	7150
850	40567	7102
851	40617	7055
852	40664	7007
853	40710	6959
854	40760	6912
855	40808	6864
856	40856	6817
857	40904	6769
858	40951	6721
859	40999	6674
860	41046	6626
861	41093	6578
862	41140	6531
863	41189	6483
864	41238	6435
865	41284	6388
866	41331	6340
867	41379	6292
868	41427	6245
869	41474	6197
870	41521	6149
871	41570	6102
872	41618	6054
873	41665	6006
874	41711	5958
875	41759	5911
876	41806	5863
877	41852	5815
878	41898	5767
879	41945	5719
880	41991	5671
881	42038	5624
882	42085	5576
883	42135	5529
884	42182	5481
885	42229	5433
886	42277	5386
887	42323	5338
888	42371	5290
889	42421	5243
890	42473	5195
891	42519	5148
892	42566	5100
893	42613	5052
894	42663	5005
895	42712	4957
896	42761	4910
897	42808	4862
898	42856	4814
899	42904	4767
900	42954	4719
901	43002	4672
902	43049	4624
903	43095	4576
904	43143	4528
905	43190	4481
906	43237	4433
907	43287	4385
908	43332	4338
909	43380	4290
910	43425	4242
911	43472	4194
912	43518	4146
913	43565	4099
914	43617	4051
915	43662	4004
916	43708	3956
917	43759	3908
918	43806	3861
919	43853	3813
920	43901	3765
921	43948	3718
922	43995	3670
923	44043	3622
924	44092	3575
925	44141	3527
926	44192	3480
927	44242	3432
928	44291	3385
929	44338	3337
930	44385	3289
931	44433	3241
932	44483	3194
933	44532	3146
934	44581	3099
935	44628	3051
936	44676	3003
937	44724	2956
938	44771	2908
939	44819	2860
940	44869	2813
941	44920	2765
942	44969	2718
943	45017	2670
944	45065	2622
945	45111	2575
946	45158	2527
947	45211	2479
948	45258	2432
949	45306	2384
950	45353	2336
951	45399	2289
952	45451	2241
953	45504	2194
954	45553	2146
955	45601	2098
956	45648	2051
957	45696	2003
958	45743	1955
959	45790	1907
960	45837	1860
961	45885	1812
962	45932	1764
963	45979	1717
964	46025	1669
965	46074	1621
966	46123	1574
967	46171	1526
968	46220	1478
969	46266	1430
970	46313	1383
971	46362	1335
972	46411	1287
973	46458	1240
974	46507	1192
975	46553	1144
976	46604	1097
977	46653	1049
978	46699	1001
979	46746	954
980	46793	906
981	46839	858
982	46885	810
983	46932	763
984	46979	715
985	47028	667
986	47074	620
987	47120	572
988	47171	524
989	47218	476
990	47268	429
991	47314	381
992	47362	333
993	47411	286
994	47458	238
995	47506	190
996	47554	143
997	47603	95
998	47654	47
999	47700	0
