number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lambda_smooth,params_lr,params_num_layers,params_time_alignment,params_weight_decay,user_attrs_dropout_effective,state
110,0.5449921786785126,2026-06-23 00:24:10.044182,2026-06-23 00:25:20.491353,0 days 00:01:10.447171,16,0.3486992682221344,64,0.25873971320471845,0.003237081293881778,2,downsample_labels,5.5876745909964286e-05,0.3486992682221344,PRUNED
111,0.754135936498642,2026-06-23 00:25:20.508517,2026-06-23 00:28:10.806057,0 days 00:02:50.297540,32,0.14415513448328487,64,0.2355272210424059,0.00029531153962923835,2,downsample_labels,0.00015061867784560507,0.14415513448328487,COMPLETE
112,0.6164089143276215,2026-06-23 00:28:10.829210,2026-06-23 00:29:03.401777,0 days 00:00:52.572567,32,0.14263087766961793,64,0.23779309618977293,0.000297875630611356,2,downsample_labels,0.0001569088367061632,0.14263087766961793,PRUNED
113,0.7547087669372559,2026-06-23 00:29:03.418107,2026-06-23 00:31:57.523941,0 days 00:02:54.105834,32,0.19332376375072327,64,0.22948050661878847,0.00023138392318557688,2,downsample_labels,0.0003147050732408451,0.19332376375072327,COMPLETE
114,0.6273516416549683,2026-06-23 00:31:57.545250,2026-06-23 00:32:50.200128,0 days 00:00:52.654878,32,0.1272838320815034,64,0.22273416034599117,0.0002339256003108303,2,downsample_labels,0.0003016963858116419,0.1272838320815034,PRUNED
115,0.7495471239089966,2026-06-23 00:32:50.217733,2026-06-23 00:35:15.312676,0 days 00:02:25.094943,32,0.08552980226218129,64,0.2135344690031179,0.00015574801062390688,2,downsample_labels,0.00018592735378966275,0.08552980226218129,COMPLETE
116,0.6537394523620605,2026-06-23 00:35:15.333857,2026-06-23 00:36:05.134854,0 days 00:00:49.800997,32,0.08180645754343012,64,0.23234917017724624,0.0001585186159020359,2,downsample_labels,0.00023622267601769792,0.08180645754343012,PRUNED
117,0.6166253387928009,2026-06-23 00:36:05.151059,2026-06-23 00:36:54.388056,0 days 00:00:49.236997,32,0.11577317963280705,64,0.21325763511534068,0.00012828269201679932,2,downsample_labels,0.0006002087047367614,0.11577317963280705,PRUNED
118,0.6651250123977661,2026-06-23 00:36:54.404175,2026-06-23 00:38:46.495709,0 days 00:01:52.091534,8,0.08929183981697193,64,0.2278298232689415,0.00015043624817168318,2,downsample_labels,0.0002030328856166229,0.08929183981697193,PRUNED
119,0.7275221347808838,2026-06-23 00:38:46.513417,2026-06-23 00:40:23.011582,0 days 00:01:36.498165,32,0.0658716393751154,64,0.20548287009201124,0.0002092277268654993,2,downsample_labels,0.00012359910063593874,0.0658716393751154,COMPLETE
