number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lambda_smooth,params_lr,params_num_layers,params_time_alignment,params_weight_decay,user_attrs_dropout_effective,state
26,0.6647655367851257,2026-06-21 21:47:44.148873,2026-06-21 21:49:12.905280,0 days 00:01:28.756407,32,0.10646478371824658,64,0.21007148914530424,0.0004681897149787263,3,upsample_preds,0.0007681594955028691,0.10646478371824658,COMPLETE
27,0.5973241031169891,2026-06-21 21:49:12.925146,2026-06-21 21:50:38.081905,0 days 00:01:25.156759,32,0.15685953338280256,64,0.17199075855374596,0.0010037354543496102,3,downsample_labels,0.003113584086806806,0.15685953338280256,PRUNED
28,0.5687545835971832,2026-06-21 21:50:38.096166,2026-06-21 21:53:03.670405,0 days 00:02:25.574239,16,0.05750631141559403,64,0.14119023759037108,0.0002199670672948613,3,downsample_labels,0.00020112208203503003,0.05750631141559403,PRUNED
29,0.6546316146850586,2026-06-21 21:53:03.683237,2026-06-21 21:58:39.381465,0 days 00:05:35.698228,8,0.004638358370963047,64,0.18496765134897403,0.00011041613057098235,3,downsample_labels,0.0008365047330010581,0.004638358370963047,PRUNED
30,0.715935081243515,2026-06-21 21:58:39.401614,2026-06-21 22:01:30.755773,0 days 00:02:51.354159,32,0.15114688168180582,64,0.11931725003315008,0.00013689585836411698,3,downsample_labels,0.0038746927186549354,0.15114688168180582,COMPLETE
31,0.653923511505127,2026-06-21 22:01:30.776967,2026-06-21 22:06:37.062855,0 days 00:05:06.285888,32,0.20541467513873946,256,0.15255828559129891,0.0003964683121032869,3,downsample_labels,0.00023706101377600993,0.20541467513873946,COMPLETE
32,0.5752537250518799,2026-06-21 22:06:37.083698,2026-06-21 22:11:39.876361,0 days 00:05:02.792663,32,0.10140328705657639,512,0.17733133127877504,0.0002430959444428928,2,downsample_labels,0.009071363209266808,0.10140328705657639,COMPLETE
33,0.5822530388832092,2026-06-21 22:11:39.899003,2026-06-21 22:13:18.027003,0 days 00:01:38.128000,32,0.05158982071761556,128,0.07450901750743229,0.0005796552374442469,3,downsample_labels,5.55740495030397e-05,0.05158982071761556,COMPLETE
34,0.5348818898200989,2026-06-21 22:13:18.047613,2026-06-21 22:16:58.591642,0 days 00:03:40.544029,32,0.12992512189638675,256,0.21740225174008138,0.0003694631152344734,2,downsample_labels,0.00018820618247077244,0.12992512189638675,PRUNED
35,0.6528126001358032,2026-06-21 22:16:58.604985,2026-06-21 22:18:46.065185,0 days 00:01:47.460200,32,0.20259205288578913,64,0.11754916668223583,0.0008179794608152772,3,downsample_labels,3.6611210419265344e-05,0.20259205288578913,PRUNED
36,0.6076129376888275,2026-06-21 22:18:46.083925,2026-06-21 22:21:18.363315,0 days 00:02:32.279390,32,,512,0.19742398433525027,0.00025180046798054244,1,downsample_labels,0.0018703405041447065,0.0,COMPLETE
37,0.7453500032424927,2026-06-21 22:21:18.383098,2026-06-21 22:26:56.127735,0 days 00:05:37.744637,32,0.053255405511510784,128,0.13648193409317516,0.0008731732449495674,2,downsample_labels,0.0010753705987860936,0.053255405511510784,COMPLETE
38,0.5420454144477844,2026-06-21 22:26:56.148624,2026-06-21 22:29:46.101666,0 days 00:02:49.953042,16,0.07279599523197568,128,0.1369469773226003,0.0014992531464148228,2,downsample_labels,0.005338772934703197,0.07279599523197568,PRUNED
39,0.5720077753067017,2026-06-21 22:29:46.114713,2026-06-21 22:34:57.502306,0 days 00:05:11.387593,8,0.04550914376458076,128,0.09929566712336607,0.0008859130420337926,2,downsample_labels,0.0009453604946451744,0.04550914376458076,PRUNED
40,0.2743759173899889,2026-06-21 22:34:57.514427,2026-06-21 22:36:00.549494,0 days 00:01:03.035067,32,0.0947182931459285,128,0.16615569477617825,0.0018900515926122859,2,downsample_labels,0.0013802292251526105,0.0947182931459285,COMPLETE
41,0.6386182606220245,2026-06-21 22:36:00.569519,2026-06-21 22:37:22.576225,0 days 00:01:22.006706,32,,128,0.0648523817661464,0.0005472175772539655,1,downsample_labels,0.0001341196069606767,0.0,PRUNED
42,0.5440956950187683,2026-06-21 22:37:22.589281,2026-06-21 22:43:18.267366,0 days 00:05:55.678085,32,0.030147359160916737,256,0.020018795855120456,0.000407476524832545,3,downsample_labels,0.0002768072161241762,0.030147359160916737,PRUNED
43,0.6385733187198639,2026-06-21 22:43:18.279728,2026-06-21 22:44:40.969278,0 days 00:01:22.689550,32,,128,0.04525445191660576,0.0007312315166116691,1,downsample_labels,9.050292364197987e-05,0.0,PRUNED
44,0.5443516373634338,2026-06-21 22:44:40.981939,2026-06-21 22:51:12.629198,0 days 00:06:31.647259,32,0.07544207909031568,512,0.1475252897461798,0.000318866963826172,3,downsample_labels,0.00046604325206385115,0.07544207909031568,COMPLETE
45,0.5719667971134186,2026-06-21 22:51:12.647934,2026-06-21 22:52:14.645800,0 days 00:01:01.997866,32,,64,0.18017218622432524,0.0012102429492529957,1,upsample_preds,0.00015461696421068704,0.0,COMPLETE
46,0.5950864553451538,2026-06-21 22:52:14.664057,2026-06-21 22:58:23.050906,0 days 00:06:08.386849,16,0.024825993919299835,256,0.1251100118018513,0.00015762094141831773,2,downsample_labels,0.002556223735848179,0.024825993919299835,PRUNED
47,0.6456653475761414,2026-06-21 22:58:23.063178,2026-06-21 22:59:43.870721,0 days 00:01:20.807543,32,0.13907680421925253,64,0.11039674595038568,0.0006130525020016922,3,downsample_labels,7.038975426154784e-05,0.13907680421925253,COMPLETE
48,0.5795964896678925,2026-06-21 22:59:43.888268,2026-06-21 23:00:44.593914,0 days 00:01:00.705646,32,,128,0.08107138952613649,0.00025319139464952746,1,upsample_preds,0.0006074076809750145,0.0,COMPLETE
49,0.4523351639509201,2026-06-21 23:00:44.611722,2026-06-21 23:07:07.917184,0 days 00:06:23.305462,8,0.1815441841685722,256,0.19682176423455722,0.0005001974769511955,2,downsample_labels,0.00025338410375582316,0.1815441841685722,COMPLETE
50,0.7297719120979309,2026-06-21 23:07:07.937982,2026-06-21 23:10:19.110181,0 days 00:03:11.172199,32,0.0031534744367862693,64,0.2253343023392792,0.0006761803905179667,2,downsample_labels,0.0003051476442647588,0.0031534744367862693,COMPLETE
51,0.7499619722366333,2026-06-21 23:10:19.134037,2026-06-21 23:14:44.244493,0 days 00:04:25.110456,32,0.2669772116135271,64,0.2536012150428556,0.0002911152624601804,2,downsample_labels,0.0001051747133627637,0.2669772116135271,COMPLETE
